timestamp,hospitalized,icu
2020-03-12T04:00:00Z,22,
2020-03-13T04:00:00Z,30,19
2020-03-16T04:00:00Z,102,36
2020-03-17T04:00:00Z,124,60
2020-03-19T04:00:00Z,554,169
2020-03-20T04:00:00Z,1160,260
2020-03-21T04:00:00Z,1450,370
2020-03-22T04:00:00Z,1800,450
2020-03-23T04:00:00Z,2213,525
2020-03-24T04:00:00Z,2850,660
2020-03-25T04:00:00Z,3750,840
2020-03-26T04:00:00Z,4733,1084
2020-03-27T04:00:00Z,5256,1175
2020-03-28T04:00:00Z,6002,1337
2020-03-29T04:00:00Z,6631,1520
2020-03-30T04:00:00Z,7630,1724
2020-03-31T04:00:00Z,8403,1888
2020-04-01T04:00:00Z,9091,2124
2020-04-02T04:00:00Z,9681,2248
2020-04-03T04:00:00Z,10370,2477
2020-04-04T04:00:00Z,10726,2562
2020-04-05T04:00:00Z,10843,2613
2020-04-06T04:00:00Z,11301,2660
2020-04-07T04:00:00Z,11741,2886
2020-04-08T04:00:00Z,11836,2901
2020-04-09T04:00:00Z,11962,2899
2020-04-10T04:00:00Z,12006,2973
2020-04-11T04:00:00Z,12026,3141
2020-04-12T04:00:00Z,12184,3122
2020-04-13T04:00:00Z,12006,3125
2020-04-14T04:00:00Z,11727,3091
2020-04-15T04:00:00Z,11277,3078
2020-04-16T04:00:00Z,11035,3087
2020-04-17T04:00:00Z,10812,3053
2020-04-18T04:00:00Z,10295,3006
2020-04-19T04:00:00Z,10237,2950
2020-04-20T04:00:00Z,10279,2915
2020-04-21T04:00:00Z,9928,2897
2020-04-22T04:00:00Z,9606,2848
2020-04-23T04:00:00Z,9070,2849
2020-04-24T04:00:00Z,8621,2783
2020-04-25T04:00:00Z,8114,2708
2020-04-26T04:00:00Z,8130,2629
2020-04-27T04:00:00Z,7995,2583
2020-04-28T04:00:00Z,7667,2497
2020-04-29T04:00:00Z,7338,2405
2020-04-30T04:00:00Z,6962,2327
2020-05-01T04:00:00Z,6497,2227
2020-05-02T04:00:00Z,6109,2181
2020-05-03T04:00:00Z,6021,2096
2020-05-04T04:00:00Z,5954,2090
2020-05-05T04:00:00Z,5739,1947
2020-05-06T04:00:00Z,5427,1869
2020-05-07T04:00:00Z,5100,1782
2020-05-08T04:00:00Z,4826,1701
2020-05-09T04:00:00Z,4533,1561
2020-05-10T04:00:00Z,4527,1547
2020-05-11T04:00:00Z,4365,1507
2020-05-12T04:00:00Z,4263,1482
2020-05-13T04:00:00Z,4086,1400
2020-05-14T04:00:00Z,3820,1350
2020-05-15T04:00:00Z,3685,1309
2020-05-16T04:00:00Z,3420,1245
2020-05-17T04:00:00Z,3385,1207
2020-05-18T04:00:00Z,3337,1158
2020-05-19T04:00:00Z,3204,1116
2020-05-20T04:00:00Z,2924,1061
2020-05-21T04:00:00Z,2730,1000
2020-05-22T04:00:00Z,2593,930
2020-05-23T04:00:00Z,2460,893
2020-05-24T04:00:00Z,2453,871
2020-05-25T04:00:00Z,2416,788
2020-05-26T04:00:00Z,2368,776
2020-05-27T04:00:00Z,2236,758
2020-05-28T04:00:00Z,2084,726
2020-05-29T04:00:00Z,1995,693
2020-05-30T04:00:00Z,1888,643
